,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,rating
64831,US,"Strong-minded with a tannic bite, this Cab has soft red fruit and a menthol quality to it that doesn't seamlessly mesh together.",,82,30.0,California,Mendocino County,,Virginie Boone,@vboone,Rosati Family 2006 Cabernet Sauvignon (Mendocino County),Cabernet Sauvignon,Rosati Family,Low
27988,Spain,"Yeasty, toasty aromas come with notes of brown sugar and baking spices. Lively and good on the palate, this tastes of dry citrus fruits and nectarine. A fresh-feeling, citrusy finish is clean and firm.",Brut Rosado,87,15.0,Catalonia,Cava,,Michael Schachner,@wineschach,Sabartés NV Brut Rosado Sparkling (Cava),Sparkling Blend,Sabartés,Low
73512,France,"This shows the soft, juicy side of Malbec. No serious tannins here, just red berry fruit and fine acidity. That means it's ready to drink this winter.",Marcel,86,11.0,Southwest France,,,Roger Voss,@vossroger,Château du Cèdre 2016 Marcel Malbec,Malbec,Château du Cèdre,Low
30205,US,"Made in a drier, more elegant style than many other Napa Cabs, this polished bottling can be described as Bordeaux-esque. Its blackberry and currant flavors are grounded in a cedary structure of earth and herbs. Great for a wine list. Drink this fine wine now and through 2014.",,92,65.0,California,Napa Valley,Napa,,,Meander 2006 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Meander,High
84778,Austria,"Taut and spicy, showing pear and savory tones, this is a slender but archetypal Grüner with a spring in its step. The palate is toned but full of verve with bundled citrus at its core. The liveliness belies the seriousness of the concentrated palate. This is a joy.",Käferberg Reserve,93,48.0,Kamptal,,,Anne Krebiehl MW,@AnneInVino,Jurtschitsch 2014 Käferberg Reserve Grüner Veltliner (Kamptal),Grüner Veltliner,Jurtschitsch,High
69674,US,"Plum and cherry notes struggle to show themselves under a heavy layer of coconut and sawdust from new American oak. This wine is tightly wound and dense in the mouth, with refreshing acidity and a medium-to-long finish. A year or two in the cellar will allow for better integration.",Optiumus,87,23.0,New York,Finger Lakes,Finger Lakes,,,Swedish Hill 2007 Optiumus Red (Finger Lakes),Red Blend,Swedish Hill,Low
26654,Austria,"One of the new generation of Grüners, reflecting the terroir of the Weinviertel of Lower Austria. It is fresh, crisp, clean—maybe a little too clean—but certainly showing green apple and pepper flavors touched with white fruits. Screwcap.",Weinviertel DAC,87,18.0,Weinviertel,,,Roger Voss,@vossroger,Zull 2006 Weinviertel DAC Grüner Veltliner (Weinviertel),Grüner Veltliner,Zull,Low
10727,France,"This simple, fruity wine has both crisp, citrusy acidity and riper apricot and pear flavors. It's soft and finishes with attractive tangy acidity. Drink now.",,86,12.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château Saint-Florian 2016  Bordeaux Blanc,Sauvignon Blanc-Semillon,Château Saint-Florian,Low
63944,France,"A ripe, still very young wine that has a rich, almost honeyed character while remaining bone dry and tightly textured. There is a mineral character to this wine that should disappear as it ages leaving the ripe pear and apple flavors and the elusive touch of honey. Drink from 2020.",Clos de la Marche,92,30.0,Loire Valley,Savennières,,Roger Voss,@vossroger,Domaine du Petit Métris 2014 Clos de la Marche  (Savennières),Chenin Blanc,Domaine du Petit Métris,High
76783,US,"Extreme black-pepper spice meets with cola, violet, wet asphalt, forest floor and very tight elderberry fruit on the nose of this wine by Rome-raised somm-turned-winemaker Paolo Barbieri. The pepper drives the palate along with dried oregano, thyme, dill and marjoram against a boysenberry fruit frame.",Rodney's Vineyard,93,46.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Barbieri 2010 Rodney's Vineyard Syrah (Santa Barbara County),Syrah,Barbieri,High
36026,France,"With a light caramel taste, this is a fat while still fruity wine. Salmon pink in color, it has acidity that fits behind the ripe red plum flavors. It should be drunk now.",Authentique,84,11.0,Southwest France,Fronton,,Roger Voss,@vossroger,Domaine Roumagnac 2014 Authentique Rosé (Fronton),Rosé,Domaine Roumagnac,Low
21187,Italy,"Fondo Filara is a blend of Nero d'Avola and Frappato, two important indigenous grapes. This expression offers tangy spice, bright fruit and a fresh, lean mouthfeel.",Fondo Filara,87,19.0,Sicily & Sardinia,Cerasuolo di Vittoria Classico,,,,Nicosia 2009 Fondo Filara  (Cerasuolo di Vittoria Classico),Red Blend,Nicosia,Low
42194,Italy,"Fragrances recall honeysuckle, jasmine and citrus zest. The juicy palate offers creamy green apple, Bartlett pear and nectarine alongside zesty acidity. A note of white almond signals the close.",,91,17.0,Veneto,Soave Classico,,Kerin O’Keefe,@kerinokeefe,Pieropan 2013  Soave Classico,White Blend,Pieropan,High
19088,France,"From a small parcel of vines, this wine is rich, peppery and weighty. With its tannic edge and tight texture, it needs some aging. Give this structured wine until late 2016.",Castillo,87,23.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Château Carpe Diem 2015 Castillo Rosé (Côtes de Provence),Rosé,Château Carpe Diem,Low
9939,Argentina,"NQN's Picada 15 line is a consistent source for good value among red wines. This four-grape blend (led by Cabernet Sauvignon) has a slight aroma of burnt leaves and tire rubber, but it settles with air into a good whole. Flavors of sweet berry fruits have an herbal edge, while the mouthfeel and finish are creamy, rich and smooth. Nice wine for the price.",Picada 15,87,11.0,Other,Neuquén,,Michael Schachner,@wineschach,Bodega NQN 2007 Picada 15 Red (Neuquén),Red Blend,Bodega NQN,Low
2939,Italy,"There's a thorny, almost raw quality of fruit here that is backed by a touch of dill weed and black tar. It feels tart and slightly bitter on the close.",Rondineto,80,12.0,Central Italy,Colli Aprutini,,,,Fattoria Giuseppe Savini 2011 Rondineto Merlot (Colli Aprutini),Merlot,Fattoria Giuseppe Savini,Low
75266,Spain,Aromas of stone-fruit pit and citrus peel are punchy. This blend of Viura and Tempranillo Blanco feels solid. Pithy grapefruit and salty flavors carry over to the finish of this everyday white.,,85,10.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Carlos Serres 2015 White (Rioja),White Blend,Carlos Serres,Low
60822,Italy,"New leather, truffle, sun-baked soil, menthol and grilled herb aromas practically jump out of the glass. The big, chewy palate delivers mature wild cherry, black raspberry, licorice and tobacco notes, set against a backdrop of firm, fine-grained tannins. Drink 2020–2027.",,93,55.0,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Col d'Orcia 2012  Brunello di Montalcino,Sangiovese,Col d'Orcia,High
3865,Spain,"Opening plum and raspberry aromas are complete and elegant, with dry earthy notes. This feels lush and layered with deep plum, raspberry and creamy oak flavors. Through to the finish, this is long, nicely oaked and complex in flavors and strong in structure and balance. Drink through 2021.",Reserva,92,35.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,12 Linajes 2009 Reserva  (Ribera del Duero),Tempranillo,12 Linajes,High
81558,US,"Cabernet Sauvignon makes up a little over three-quarters of this blend, with Merlot, Cabernet Franc, Malbec and Petit Verdot rounding it out. The aromas start out brooding, with notes of pencil lead, black currant, flowers and green herb. The palate is focused, dense and textured, bringing an exquisite sense of balance along with a lengthy finish. Best after 2020.",Sorella Champoux Vineyard,92,83.0,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Andrew Will 2013 Sorella Champoux Vineyard Red (Horse Heaven Hills),Bordeaux-style Red Blend,Andrew Will,High
10015,France,This is a beautifully structured ripe wine that is full of dense red fruits and tightly wrought acidity. Crisply textured raspberry flavors dominate. This is a rich wine that can be kept for a few months. Drink at the end of 2017.,Quat'Saisons,91,25.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Château la Mascaronne 2016 Quat'Saisons Rosé (Côtes de Provence),Rosé,Château la Mascaronne,High
38390,US,"Dark chocolate and black cherry converge for an elegant and dense nose in this wine from the Riboli family. The palate offers an intriguing range of flavors, from blackberry to cocoa dust and black pepper. The chalky tannins still need some time to open up, but will ensure a long life.",Estate Reserve,91,25.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,San Simeon 2013 Estate Reserve Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,San Simeon,High
51128,Italy,"Mature black-skinned berry, ripe plum, baking spice, violet and a whiff of earth are some of the aromas you'll find on this impressive red. The structured palate doles out juicy black cherry, crushed blackberry, vanilla and a dusting of cocoa framed in velvety tannins. Even though it's already accessible, it will continue to evolve and age well for years to come. Drink through 2028.",Naturalis Historia,94,90.0,Southern Italy,Taurasi,,Kerin O’Keefe,@kerinokeefe,Mastroberardino 2008 Naturalis Historia  (Taurasi),Aglianico,Mastroberardino,High
60527,Italy,"This Nebbiolo by Mario Pelassa is loaded with aromas that recall Christmas spice, chopped mint and nutmeg. There's an incredibly strong balsam note here that resembles eucalyptus and peppermint. Pair this wine with lamb and mint jelly.",Antaniolo,87,28.0,Piedmont,Roero,,,,Pelassa 2005 Antaniolo  (Roero),Nebbiolo,Pelassa,Low
50015,US,"Hews to the Hanzell style, which is almost old-fashioned in this age of ripely opulent Pinot Noirs. This one's tight as a drum in tannins and acids, a quivery, nervously wound wine. Yet it's quite rich and complex, with a tapestry of cherry, red licorice, tobacco, Canadian bacon, dusty Indian spice and buttered toast flavors.  Needs 7–8 years in the cellar, and, based on tastings of very old Hanzell, should slowly unfold through the 2020s.",Ambassador's 1953 Vineyard,93,145.0,California,Sonoma Valley,Sonoma,,,Hanzell 2007 Ambassador's 1953 Vineyard Pinot Noir (Sonoma Valley),Pinot Noir,Hanzell,High
59719,France,"This is the top wine from this producer. Produced, as its name indicates, from old vines, it is ripe with mango and pineapple fruits as well as fine streak of tangerine. There is good mineral texture and tight acidity to give this wine its crisp side. Drink this rich wine from 2018.",Vieilles Vignes,92,56.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,Roger et Didier Raimbault 2014 Vieilles Vignes  (Sancerre),Sauvignon Blanc,Roger et Didier Raimbault,High
73551,France,"This wine is now in perfect condition. Just mature, it has great swathes of ripe plum and dark berry fruits that are textured with tight, spicy tannins. Balanced and rich, it shows mint and a concentrated structure. Drink now and until 2020.",,93,33.0,Provence,Coteaux d'Aix-en-Provence,,Roger Voss,@vossroger,Château Vignelaure 2009 Red (Coteaux d'Aix-en-Provence),Provence red blend,Château Vignelaure,High
7099,Australia,"This winery was originally developed as a Cabernet specialist, and the regular 2012 bottling is another fine success. Briery, herbal shadings frame blackberry fruit, while the finish features a mouthwatering combination of mocha, dark fruit and lingering tannins. Drink this medium-bodied Cabernet now through 2025.",,91,17.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Wakefield 2012 Cabernet Sauvignon (Clare Valley),Cabernet Sauvignon,Wakefield,High
35963,US,"A proprietary blend of 85% Cabernet Sauvignon, 10% Cabernet Franc, 3% Merlot and 2% Petit Verdot, Zephyr is thick and rich. It offers a ripe, juicy and soft expression of mocha, coconut and blackberry jam that's generous on the palate.",Zephyr Private Reserve,91,85.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Davis Estates 2012 Zephyr Private Reserve Red (Napa Valley),Bordeaux-style Red Blend,Davis Estates,High
44466,US,Pomegranate and raspberry fruit are highlighted with sharp scents of orange flesh and peel. The buoyant acidity and overall tightness suggest that this will continue to evolve and improve over the next several years. It's lightly spiced with a well-managed touch of new oak.,Savoya Vineyard,92,65.0,Oregon,Willamette Valley,,Paul Gregutt,@paulgwine ,Ken Wright 2012 Savoya Vineyard Pinot Noir,Pinot Noir,Ken Wright,High
52044,France,"This is young, fresh, full and yeasty, with considerable richness. It shows the superlative quality of Charles Heidsieck as a Champagne producer. A dry Champagne, it is softened by richness, but the intensity and flavor and full green fruits promise great development.",,93,,Champagne,Champagne,,Roger Voss,@vossroger,Charles Heidsieck 2000  Champagne,Champagne Blend,Charles Heidsieck,High
43089,Spain,"An oddball blend of many grapes that offers a spicy oak cover and sweet, earthy notes from front to back. But it's hard as nails, with blazing acidity, the result of which is a clacky, rough wine. On the plus side it has interesting flavors with tobacco and citrus notes.",5 Finca Reserva,83,19.0,Northern Spain,Empordà,,Michael Schachner,@wineschach,Castillo de Perelada 2005 5 Finca Reserva Red (Empordà),Red Blend,Castillo de Perelada,Low
81846,Spain,An initial blast of hot summer field and nepeta muddles the clarity of the nose. This is a bit flat and lacking in verve. Flavors of apricot and nectarine turn pithy on the finish.,,86,23.0,Galicia,Rías Baixas,,Michael Schachner,@wineschach,Pazo de Galegos 2014 Albariño (Rías Baixas),Albariño,Pazo de Galegos,Low
48729,US,"This bottling screams white earth, with a chalk- and riverstone-like minerality and clotted cream and lemon scents. That minerality carries through to the palate, where a chalky note blends with Asian pear and marshmallow. It's a study in how to present delicate flavors with pizzazz, which the Talley family has been known to do.",Oliver's Vineyard,94,38.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Talley 2014 Oliver's Vineyard Chardonnay (Edna Valley),Chardonnay,Talley,High
41073,Italy,"Heady floral scents of wisteria, jasmine and hawthorn lead the way. The bright, frothy palate doles out crisp green apple, Bartlett pear and a hint of lime alongside a foaming mousse.",Brut,87,26.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,Kerin O’Keefe,@kerinokeefe,Masottina NV Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Masottina,Low
40725,US,"This appealing wine demonstrates the exciting potential for Malbec in Southern Oregon. Fresh, zippy acids underscore bright raspberry and black-cherry fruit, framed in chocolate with a dash of sea salt. The finish resonates with lightly applied baking spices and cayenne pepper.",,91,22.0,Oregon,Rogue Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Silvan Ridge 2013 Malbec (Rogue Valley),Malbec,Silvan Ridge,High
24497,Austria,"Dark purple, juicy wine, with spice and pepper flavors from the Zweigelt. The fruit comes through as fresh blackberries touched with plums and lightly tannic. Simple, rustic and fruity. Screwcap.",Koenigsegg Zwei. 1,84,12.0,Burgenland,,,Roger Voss,@vossroger,Schloss Halbturn 2006 Koenigsegg Zwei. 1 Zweigelt (Burgenland),Zweigelt,Schloss Halbturn,Low
4981,US,"At a time when many others have dropped Sangiovese from their portfolios, Amador Foothill remains committed to the great grape of Tuscany. The wine is medium-bodied and soft, somewhat like a warm-climate Merlot, with a pepper edge to the cherry and red currant flavors. It finishes dry and elegant.",Estate,87,20.0,California,Shenandoah Valley (CA),Sierra Foothills,,,Amador Foothill Winery 2005 Estate Sangiovese (Shenandoah Valley (CA)),Sangiovese,Amador Foothill Winery,Low
82770,US,"This hyper-ripe wine hits it hard in terms of power and sheer strength of fruit, making for a big, slightly sweet and one-dimensional experience bordering on Port. It's to be enjoyed carefully.",Sullivan,84,34.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Mazzocco 2013 Sullivan Zinfandel (Dry Creek Valley),Zinfandel,Mazzocco,Low
73066,Italy,"A vineyard-designated Brunello with sharp clarity and purity. Sangiovese aromas of wild berry, earth, pressed blue flower and forest floor. Lively and direct on the palate, with integrated acidity and firm structure.",Vigna Manapetra,93,48.0,Tuscany,Brunello di Montalcino,,,,Fattoria La Lecciaia 2007 Vigna Manapetra  (Brunello di Montalcino),Sangiovese Grosso,Fattoria La Lecciaia,High
80574,South Africa,"The KWV-owned estate in Paarl has produced an old-style Burgundian wine with animal aromas. These may wear off with age, but currently it still has charm, and certainly character, with its layers of spice and yeasty fruits.",,84,11.0,Paarl,,,Roger Voss,@vossroger,Laborie 2001 Chardonnay (Paarl),Chardonnay,Laborie,Low
48100,Italy,"This offers fresh, soothing sensations of citrus, dried grass and white flower. The style is Brut, which means this expression is slightly drier than the majority of Proseccos found on the market today.",Etamorosa Brut,85,11.0,Veneto,Prosecco Treviso,,,,La Gioiosa NV Etamorosa Brut  (Prosecco Treviso),Glera,La Gioiosa,Low
84349,France,"Each year, the Jacquesson blended nonvintage is identified by a new cuvée number, meaning the vintage basis of the blend and the composition has changed. But not the style, which remains firmly dry, full of gravitas and intense quality. The wine has plenty of freshness, but the ripe fruit shows signs of opening out and becoming more complex.",Cuvée No 733 Brut,94,63.0,Champagne,Champagne,,Roger Voss,@vossroger,Jacquesson et Fils NV Cuvée No 733 Brut  (Champagne),Champagne Blend,Jacquesson et Fils,High
17966,France,"The 18 months' barrel aging has given a strong toasty wood taste that smothers the black plum fruits. Six months could see better integration, but the juiciness is missing in the bone-dry tannins.",La Roque,87,25.0,Southwest France,Cahors,,Roger Voss,@vossroger,Mas del Périé 2007 La Roque Malbec (Cahors),Malbec,Mas del Périé,Low
31675,Italy,"Aromas of white flower, herb and apricot lead the nose. Made solely with Chardonnay, the palate delivers yellow apple, citrus and roasted nut paste alongside a soft mousse. Bitter walnut marks the finish.",Essence Saten,87,48.0,Lombardy,Franciacorta,,Kerin O’Keefe,@kerinokeefe,Antica Fratta 2010 Essence Saten Chardonnay (Franciacorta),Chardonnay,Antica Fratta,Low
58195,Argentina,"Ripe, toasty, smoky aromas of blackberry, cassis, licorice and prune are gritty. This is big, tannic and blocky, with tartaric scrape. Flavors of blackberry, cassis, raw oak, licorice and spice finish with notes of toast, chocolate and baking spices. Drink this full-bodied, jammy blend of Malbec and four other red grapes through 2020.",Familia,92,58.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Durigutti 2010 Familia Red (Mendoza),Red Blend,Durigutti,High
61564,France,Intense acidity combines with spice and just the right amount of fresh fruitiness to give this lively wine that's full in the mouth. It's ripe and ready to drink.,Saint-Roch-les-Vignes,85,18.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Les Maîtres Vignerons de la Presqu'île de Saint-Tropez 2014 Saint-Roch-les-Vignes Rosé (Côtes de Provence),Rosé,Les Maîtres Vignerons de la Presqu'île de Saint-Tropez,Low
79689,Portugal,"Smooth and soft, this easygoing wine has spice, touches of wood from the barrel aging and a firm tannic core. It is balanced and ready to drink.",Hat Trick,86,18.0,Lisboa,,,Roger Voss,@vossroger,Casa Santos Lima 2015 Hat Trick Red (Lisboa),Portuguese Red,Casa Santos Lima,Low
37672,US,"Aged and fermented in neutral French oak, this luscious wine is smooth and open, with just the right touch of butter, presumably from partial malolactic fermentation. The mouthfeel is creamy and rich, like a peach cobbler, with a splash of butterscotch.",Freedom Hill Vineyard Dijon Clone,91,26.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,St. Innocent 2015 Freedom Hill Vineyard Dijon Clone Chardonnay (Willamette Valley),Chardonnay,St. Innocent,High
704,Spain,"Quite leesy and funky, with meaty, oily aromas that are a departure from normal Albariño and are indicative of the 30% Treixadura and Loureiro that beef things up. Perfectly drinkable, and with a decent mouthfeel, but still it lacks the straightforward cleanliness of the really good wines from Galicia. Imported by Republic National Distributing Co.",Señor da Folla Verde,85,25.0,Galicia,Rías Baixas,,Michael Schachner,@wineschach,Marqués de Vizhoja 2007 Señor da Folla Verde White (Rías Baixas),White Blend,Marqués de Vizhoja,Low
9210,Austria,"There's an almost honeyed edge to the nose of this charming, composed wine. The sprightly palate is highlighted by a spritz of lemon here and there and the occasional flash of white pepper. This has a masterfully light touch.",Ried Renner Reserve,91,33.0,Kamptal,,,Anne Krebiehl MW,@AnneInVino,Schloss Gobelsburg 2014 Ried Renner Reserve Grüner Veltliner (Kamptal),Grüner Veltliner,Schloss Gobelsburg,High
39113,France,"The least expensive Saint-Joseph from LVV is this attractively tarry, smoky offering. It offers exciting complexity, marrying herbal, savory notes of black olive, smoke and wood ash with just enough blackberry and raspberry fruit while remaining medium bodied and almost delicate on the palate. Drink now–2018.",,91,37.0,Rhône Valley,Saint-Joseph,,Joe Czerwinski,@JoeCz,Les Vins de Vienne 2011  Saint-Joseph,Syrah,Les Vins de Vienne,High
30012,France,"This old-vine wine shows signs of rotten fruit, certainly aromatically. On the palate, it is tight with dark tannins and a hard, extracted edge. It is hard to tell if it could soften. This property liess in both the Castillon and Franc appellations. Wine is vinified plot by plot.",Cuvée Prevenche,82,15.0,Bordeaux,Castillon Côtes de Bordeaux,,Roger Voss,@vossroger,Château Terrasson 2013 Cuvée Prevenche  (Castillon Côtes de Bordeaux),Bordeaux-style Red Blend,Château Terrasson,Low
35480,Portugal,"Big, powerful wine that is restrained by its ripe, dusty tannins. It is concentrated, with an almost Port-like texture, a result of the open lagars in which it is fermented. The fruit is likely to be rich and opulent as the tannins move into balance.",Pintas,93,72.0,Douro,,,Roger Voss,@vossroger,Wine & Soul 2008 Pintas Red (Douro),Portuguese Red,Wine & Soul,High
26185,Italy,"This super Tuscan blend of Merlot and Cabernet Sauvignon shows richness and softness followed by aromas of red cherry, chocolate and toasted hazelnut. The tannins are firm but smooth, and the wine would pair with game meats or spicy pork ribs.",Spirto,93,,Tuscany,Toscana,,,,Sant Agnese dei F.lli Gigli 2004 Spirto Red (Toscana),Red Blend,Sant Agnese dei F.lli Gigli,High
31653,France,"A hugely concentrated wine, it has a dark feel to it, mineral and structured. It shows spice, suggestions of the wood aging and always the ripest fruit. Drink from 2018.",,93,58.0,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château la Gaffelière 2011  Saint-Émilion,Bordeaux-style Red Blend,Château la Gaffelière,High
36916,Portugal,"This rich, oak-aged wine is so smooth with yellow fruits, with just an edge of citrus and spicy, toasty character. It's a beautiful, generous wine, opulent in its ripe fruit while keeping a cool, salty character. The wine is still young, needing to bring out even further flavors. Drink from 2017.",Branco,92,35.0,Beira Atlantico,,,Roger Voss,@vossroger,Quinta de Foz de Arouce 2013 Branco White (Beira Atlantico),Portuguese White,Quinta de Foz de Arouce,High
34037,Spain,"Concentrated tight-grained oaky aromas rest on top of deep smoky blackberry and cassis scents. This is solid as an ox and quite ripe across the palate. Flavors of blackberry, pepper, fine oak and herbs are integrated, while a toasty chocolaty lightly herbal finish tastes and feels right. Drink through 2022.",Viñas Viejas,93,69.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,García Figuero 2012 Viñas Viejas  (Ribera del Duero),Tempranillo,García Figuero,High
47431,US,"The Andretti style is fruit-driven and easy, and this Cab definitely is built along those lines. It's explosive in sweet raspberry, cherry, blackberry and loganberry jam flavors, with a smooth overlay of spicy oak.",,86,44.0,California,Napa Valley,Napa,,,Andretti 2006 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Andretti,Low
74954,Portugal,"Pato's pair of old vine wines, a red and this white, are beautifully complex. With its rich melon, tropical fruits, spice and light toastiness, this wine is concentrated with still-young acidity and currant fruit flavors. It's a great wine that needs to develop before drinking. Wait until 2016.",Vinhas Velhas,92,16.0,Beira Atlantico,,,Roger Voss,@vossroger,Luis Pato 2013 Vinhas Velhas White (Beira Atlantico),Portuguese White,Luis Pato,High
41041,South Africa,"Scents of cherry and raspberry sauce unfold on the bouquet, while the approachable palate offers similarly intense, fleshy fruit flavors that are laced with hints of pepper and soft mint.",Sincerely,85,14.0,Western Cape,,,Lauren Buzzeo,@laurbuzz,Neil Ellis 2010 Sincerely Shiraz (Western Cape),Shiraz,Neil Ellis,Low
43402,France,"Still firm with tannins, this is also a rich, generous wine. It has mint aromas that follow through on to the palate with wood-aging flavors. Bold blackberry fruit and juicy acidity balance the structure and give the wine a ripe character. The wine will be ready to drink from 2018.",,91,30.0,Bordeaux,Saint-Estèphe,,Roger Voss,@vossroger,Château Bel-Air Ortet 2012  Saint-Estèphe,Bordeaux-style Red Blend,Château Bel-Air Ortet,High
79703,Argentina,"After rubbery, dark-fruit aromas set things up, the palate feels racy and forward, with dark berry, spice and peppery flavors. It feels solid on the finish, while the fruit character holds on for a good while. Readily available, with 300,000 cases made.",Sustainably Farmed Estate Grown and Bottled,87,12.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Zolo 2012 Sustainably Farmed Estate Grown and Bottled Malbec (Mendoza),Malbec,Zolo,Low
6328,US,"This varietal wine is toasty in caramelized oak and richly interwoven with flavors and aromas of pencil shavings, plum and black currant. Grippy, with a velvety texture, it provides structure and power in equal parts.",Estate Grown Cave Fermented,94,115.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Jarvis 2013 Estate Grown Cave Fermented Cabernet Franc (Napa Valley),Cabernet Franc,Jarvis,High
10306,Spain,"Clean, fresh and inviting aromas are simple as rosé should be. Plum, raspberry and other red-fruit flavors are full and tight, with ripeness, acidity and just a hint of sweetness.",Garnacha-Cabernet Sauvignon,86,9.0,Northern Spain,Campo de Borja,,Michael Schachner,@wineschach,Coto de Hayas 2013 Garnacha-Cabernet Sauvignon Rosado (Campo de Borja),Rosado,Coto de Hayas,Low
11632,France,"This is plush and velvety in feel, with superripe notes of chocolate and black cherries on the palate. Finishes a bit warm; drink now–2016.",Réserve de Bonpas,86,12.0,Rhône Valley,Côtes du Rhône,,Joe Czerwinski,@JoeCz,Bonpas 2012 Réserve de Bonpas Red (Côtes du Rhône),Rhône-style Red Blend,Bonpas,Low
32157,New Zealand,"This wine harmoniously blends hints of cut grass and struck flint with pink grapefruit. It's medium in body, not at all overdone, delivering the long citrus and berry finish with the precision of cut crystal.",Estate Grown,92,20.0,Marlborough,,,Joe Czerwinski,@JoeCz,Huia 2015 Estate Grown Sauvignon Blanc (Marlborough),Sauvignon Blanc,Huia,High
26903,US,"Coffee, spice, vanilla and pencil lead aromas are followed by rich, luscious, full-bodied fruit and barrel flavors. It's hedonistic and pulls no punches but shows balance: an equal mix of fruit and barrel.",Estate Riverbend Vineyard,92,36.0,Washington,Wahluke Slope,Columbia Valley,Sean P. Sullivan,@wawinereport,Fielding Hills 2013 Estate Riverbend Vineyard Merlot (Wahluke Slope),Merlot,Fielding Hills,High
43035,Australia,"A bold wine, loaded with bright acidity but balanced with plenty of good body. It's redolent of grapefruit, gooseberry, fig, melon, fresh cut hay, lemon and mandarine orange. Long and fresh on the finish.",,91,16.0,South Australia,Adelaide Hills,,,,Groom 2002 Sauvignon Blanc (Adelaide Hills),Sauvignon Blanc,Groom,High
49688,Spain,"Roasted aromas of berry and hickory come with tons of char and BBQ notes. This is thick, almost to the point of being syrupy, while flavors of herbs, blackberry, creamy oak and mint are more savory than bright. If this were any more rich and oaky, it might be considered too fat and heavy.",La Atalaya,87,16.0,Central Spain,Almansa,,Michael Schachner,@wineschach,Atalaya 2011 La Atalaya Red (Almansa),Red Blend,Atalaya,Low
35942,US,"From one of the region's most dramatically perched vineyards, this bottling shows baked red cherry, thyme, chipped slate and the slightest touch of game on the nose. Tangy acidity and a grippy texture frame the sip, where cranberry, black loam and wet clay minerality lead into a long sizzling finish.",Radian Vineyard,91,60.0,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Dragonette 2014 Radian Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Dragonette,High
22977,Germany,"Dramatically ripe, this delicately framed spätlese is a showcase of pristine, sunny peach and Meyer lemon flavors accented by caramel and crystallized honey. It's nuanced as well, darting with acidity and touches of sea salt and slate that persist.",Ürziger Würzgarten Spätlese,93,33.0,Mosel,,,Anna Lee C. Iijima,,Markus Molitor 2012 Ürziger Würzgarten Spätlese Riesling (Mosel),Riesling,Markus Molitor,High
27481,France,"When T-L gets the mix of fruit and oak right, the wines can be deliciously hedonistic. This is a beautiful mix of cedar, vanilla and chocolate with bright boysenberry fruit, wrapped in a richly velvety texture and lingering elegantly on the finish. Drink 2012–2020.",Vieilles Vignes,91,35.0,Rhône Valley,Crozes-Hermitage,,Joe Czerwinski,@JoeCz,Tardieu-Laurent 2008 Vieilles Vignes  (Crozes-Hermitage),Syrah,Tardieu-Laurent,High
2504,US,"Whiffs of smoke lend a savory feel to pressed apple notes on this dry, delicately framed wine. The palate bristles with lemon-lime acidity and finishes long and lean with a hint of wet stones.",A&D Vineyard Dry,86,22.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Bellwether 2012 A&D Vineyard Dry Riesling (Finger Lakes),Riesling,Bellwether,Low
4000,US,"Charred wood, espresso and thyme aromas lead onto the medium-full palate, which is supported by sturdy tannins. This Syrah would pair well with a pulled-pork hoagie.",Lips,83,33.0,Colorado,Grand Valley,,,,Anemoi 2012 Lips Syrah (Grand Valley),Syrah,Anemoi,Low
